side1,side2,side3,side_type,angle_type
1,1,1,equilateral,equiangular
15,8,17,scalene,right
10,10,10,equilateral,equiangular
10,17,10,isosceles,obtuse
4,3,5,scalene,right
16,12,20,scalene,right
20,16,20,isosceles,acute
12,15,9,scalene,right
13,14,19,scalene,acute
10,5,10,isosceles,acute
18,18,18,equilateral,equiangular
7,16,10,scalene,obtuse
12,15,10,scalene,acute
5,3,4,scalene,right
17,8,14,scalene,obtuse
12,13,5,scalene,right
12,10,5,scalene,obtuse
12,9,15,scalene,right
4,4,4,equilateral,equiangular
5,12,13,scalene,right
14,20,20,isosceles,acute
8,8,8,equilateral,equiangular
12,8,18,scalene,obtuse
15,9,12,scalene,right
17,17,17,equilateral,equiangular
19,10,16,scalene,obtuse
16,17,16,isosceles,acute
16,13,8,scalene,obtuse
5,19,19,isosceles,acute
16,12,20,scalene,right
17,15,17,isosceles,acute
10,6,10,isosceles,acute
17,8,15,scalene,right
6,8,10,scalene,right
4,4,4,equilateral,equiangular
9,12,15,scalene,right
16,16,16,equilateral,equiangular
15,8,17,scalene,right
15,12,15,isosceles,acute
3,4,5,scalene,right
4,20,20,isosceles,acute
13,13,13,equilateral,equiangular
11,11,11,equilateral,equiangular
16,12,20,scalene,right
11,11,9,isosceles,acute
10,10,5,isosceles,acute
14,15,5,scalene,obtuse
13,8,12,scalene,acute
17,7,17,isosceles,acute
16,16,16,equilateral,equiangular
17,11,17,isosceles,acute
4,10,11,scalene,obtuse
13,10,7,scalene,obtuse
15,12,9,scalene,right
16,12,16,isosceles,acute
19,19,19,equilateral,equiangular
11,3,11,isosceles,acute
8,15,17,scalene,right
18,18,18,equilateral,equiangular
11,11,11,equilateral,equiangular
8,14,7,scalene,obtuse
2,15,15,isosceles,acute
12,15,9,scalene,right
20,13,20,isosceles,acute
5,9,12,scalene,obtuse
19,2,19,isosceles,acute
5,4,3,scalene,right
17,17,4,isosceles,acute
20,12,16,scalene,right
10,8,6,scalene,right
9,9,7,isosceles,acute
7,8,7,isosceles,acute
14,13,14,isosceles,acute
13,12,5,scalene,right
18,18,7,isosceles,acute
5,5,5,equilateral,equiangular
12,9,15,scalene,right
12,12,12,equilateral,equiangular
9,9,9,equilateral,equiangular
17,17,15,isosceles,acute
20,19,19,isosceles,acute
13,5,12,scalene,right
14,15,20,scalene,acute
17,17,20,isosceles,acute
14,14,14,equilateral,equiangular
15,9,12,scalene,right
8,10,8,isosceles,acute
4,4,4,equilateral,equiangular
6,6,4,isosceles,acute
5,4,3,scalene,right
18,16,14,scalene,acute
11,11,11,equilateral,equiangular
20,18,20,isosceles,acute
12,8,10,scalene,acute
20,17,5,scalene,obtuse
12,15,9,scalene,right
5,5,5,equilateral,equiangular
9,12,9,isosceles,acute
15,15,15,equilateral,equiangular
19,19,10,isosceles,acute
16,16,11,isosceles,acute
10,9,12,scalene,acute
16,8,16,isosceles,acute
12,13,5,scalene,right
17,11,18,scalene,acute
8,15,17,scalene,right
9,19,15,scalene,obtuse
13,13,5,isosceles,acute
9,15,12,scalene,right
3,5,3,isosceles,obtuse
15,12,9,scalene,right
3,5,4,scalene,right
8,10,6,scalene,right
8,18,18,isosceles,acute
19,19,19,equilateral,equiangular
16,16,16,equilateral,equiangular
5,6,5,isosceles,acute
13,5,12,scalene,right
17,17,17,equilateral,equiangular
3,3,3,equilateral,equiangular
3,3,2,isosceles,acute
10,8,6,scalene,right
7,4,6,scalene,acute
17,8,15,scalene,right
7,3,6,scalene,obtuse
17,4,20,scalene,obtuse
4,3,5,scalene,right
8,16,16,isosceles,acute
10,2,10,isosceles,acute
12,12,12,equilateral,equiangular
8,8,8,equilateral,equiangular
1,4,4,isosceles,acute
10,10,10,equilateral,equiangular
12,16,7,scalene,obtuse
13,13,2,isosceles,acute
20,11,15,scalene,obtuse
6,6,2,isosceles,acute
1,1,1,equilateral,equiangular
3,5,5,isosceles,acute
8,17,17,isosceles,acute
11,12,10,scalene,acute
13,13,13,equilateral,equiangular
9,9,10,isosceles,acute
8,6,10,scalene,right
18,15,12,scalene,acute
13,13,13,equilateral,equiangular
11,11,2,isosceles,acute
10,10,10,equilateral,equiangular
6,6,7,isosceles,acute
19,16,7,scalene,obtuse
9,11,17,scalene,obtuse
14,2,14,isosceles,acute
12,5,13,scalene,right
7,13,13,isosceles,acute
9,13,7,scalene,obtuse
14,14,14,equilateral,equiangular
20,20,14,isosceles,acute
15,15,15,equilateral,equiangular
4,16,13,scalene,obtuse
3,3,3,equilateral,equiangular
15,9,12,scalene,right
17,8,15,scalene,right
9,15,7,scalene,obtuse
12,17,10,scalene,obtuse
18,18,18,equilateral,equiangular
10,7,7,isosceles,obtuse
3,3,3,equilateral,equiangular
8,20,15,scalene,obtuse
15,17,8,scalene,right
13,12,5,scalene,right
7,7,7,equilateral,equiangular
17,14,14,isosceles,acute
13,8,8,isosceles,obtuse
12,15,9,scalene,right
17,13,8,scalene,obtuse
15,15,15,equilateral,equiangular
12,12,12,equilateral,equiangular
9,9,9,equilateral,equiangular
8,8,8,equilateral,equiangular
12,13,5,scalene,right
19,5,20,scalene,obtuse
10,10,10,equilateral,equiangular
5,4,3,scalene,right
5,12,13,scalene,right
1,1,1,equilateral,equiangular
15,12,9,scalene,right
8,8,1,isosceles,acute
3,5,4,scalene,right
9,10,9,isosceles,acute
7,16,16,isosceles,acute
13,5,12,scalene,right
17,20,17,isosceles,acute
2,12,12,isosceles,acute
18,18,18,equilateral,equiangular
19,13,13,isosceles,obtuse
16,16,17,isosceles,acute
6,11,11,isosceles,acute
14,2,14,isosceles,acute
18,14,13,scalene,acute
16,16,12,isosceles,acute
12,20,16,scalene,right
7,17,13,scalene,obtuse
4,3,5,scalene,right
4,4,4,equilateral,equiangular
3,4,5,scalene,right
15,13,8,scalene,acute
14,14,14,equilateral,equiangular
4,5,3,scalene,right
15,18,18,isosceles,acute
13,13,13,equilateral,equiangular
15,15,15,equilateral,equiangular
14,14,18,isosceles,acute
18,11,12,scalene,obtuse
7,7,7,equilateral,equiangular
10,8,6,scalene,right
8,10,6,scalene,right
9,12,15,scalene,right
10,17,17,isosceles,acute
7,16,13,scalene,obtuse
20,16,12,scalene,right
7,19,17,scalene,obtuse
6,10,8,scalene,right
8,17,15,scalene,right
17,16,10,scalene,acute
1,1,1,equilateral,equiangular
16,12,20,scalene,right
6,5,6,isosceles,acute
5,4,5,isosceles,acute
15,12,9,scalene,right
16,1,16,isosceles,acute
15,17,8,scalene,right
5,12,13,scalene,right
4,9,11,scalene,obtuse
17,9,11,scalene,obtuse
12,5,13,scalene,right
16,11,9,scalene,obtuse
1,1,1,equilateral,equiangular
20,11,18,scalene,acute
3,3,3,equilateral,equiangular
4,4,4,equilateral,equiangular
3,4,5,scalene,right
3,5,4,scalene,right
2,2,2,equilateral,equiangular
9,18,13,scalene,obtuse
12,7,12,isosceles,acute
7,7,7,equilateral,equiangular
15,8,17,scalene,right
8,8,7,isosceles,acute
14,14,14,equilateral,equiangular
7,7,7,equilateral,equiangular
8,15,15,isosceles,acute
16,12,20,scalene,right
8,10,6,scalene,right
4,15,12,scalene,obtuse
9,7,10,scalene,acute
19,7,19,isosceles,acute
4,3,5,scalene,right
2,2,2,equilateral,equiangular
4,9,6,scalene,obtuse
11,15,12,scalene,acute
16,16,16,equilateral,equiangular
5,17,13,scalene,obtuse
13,20,15,scalene,obtuse
10,8,6,scalene,right
18,18,18,equilateral,equiangular
10,19,17,scalene,acute
7,12,13,scalene,acute
1,1,1,equilateral,equiangular
12,13,12,isosceles,acute
9,6,9,isosceles,acute
14,17,8,scalene,obtuse
18,18,18,equilateral,equiangular
19,19,19,equilateral,equiangular
17,17,17,equilateral,equiangular
1,5,5,isosceles,acute
11,14,18,scalene,obtuse
15,15,15,equilateral,equiangular
15,19,15,isosceles,acute
17,17,19,isosceles,acute
13,14,7,scalene,acute
12,8,12,isosceles,acute
9,6,9,isosceles,acute
11,11,11,equilateral,equiangular
18,18,18,equilateral,equiangular
7,7,7,equilateral,equiangular
12,12,14,isosceles,acute
17,9,11,scalene,obtuse
20,9,14,scalene,obtuse
11,8,9,scalene,acute
5,11,12,scalene,acute
8,8,8,equilateral,equiangular
6,11,6,isosceles,obtuse
11,16,16,isosceles,acute
5,13,12,scalene,right
5,5,5,equilateral,equiangular
8,10,6,scalene,right
18,18,18,equilateral,equiangular
4,4,4,equilateral,equiangular
12,14,18,scalene,acute
10,19,18,scalene,acute
5,4,3,scalene,right
17,11,8,scalene,obtuse
16,15,2,scalene,obtuse
16,18,15,scalene,acute
12,5,13,scalene,right
6,5,5,isosceles,acute
19,4,19,isosceles,acute
11,13,10,scalene,acute
6,6,6,equilateral,equiangular
11,11,11,equilateral,equiangular
13,20,15,scalene,obtuse
16,6,16,isosceles,acute
16,18,18,isosceles,acute
15,8,17,scalene,right
17,15,8,scalene,right
3,4,5,scalene,right
18,13,8,scalene,obtuse
15,3,15,isosceles,acute
17,8,17,isosceles,acute
10,8,4,scalene,obtuse
15,15,15,equilateral,equiangular
